iter	MultiClass
0	1.738842689
1	1.683438705
2	1.634572132
3	1.583128178
4	1.536222363
5	1.49677617
6	1.458963354
7	1.428434914
8	1.400255081
9	1.372060431
10	1.348043808
11	1.325800829
12	1.300041937
13	1.278404598
14	1.257323435
15	1.237211799
16	1.219878619
17	1.201921729
18	1.186011847
19	1.170692351
20	1.155463253
21	1.140185929
22	1.128471102
23	1.116141434
24	1.105943849
25	1.09540218
26	1.083893151
27	1.07189765
28	1.062692679
29	1.052652458
30	1.042421724
31	1.03264932
32	1.024375421
33	1.015512744
34	1.007938919
35	0.9986774927
36	0.9889950682
37	0.9829622511
38	0.9762090544
39	0.9700643168
40	0.9644808832
41	0.9595236221
42	0.9541151389
43	0.9470788869
44	0.9419472151
45	0.9351731375
46	0.9308695881
47	0.9242952556
48	0.9192631411
49	0.9146797718
50	0.9107332381
51	0.9062621
52	0.9021569143
53	0.8979937927
54	0.8942620905
55	0.8898804518
56	0.8835370274
57	0.8793297417
58	0.8755643859
59	0.8726288647
60	0.8683722121
61	0.8636766181
62	0.858822184
63	0.852357299
64	0.8493650987
65	0.8465425289
66	0.8421345463
67	0.8385492717
68	0.8355065024
69	0.8312342447
70	0.8272982232
71	0.8240866706
72	0.8203172327
73	0.818240254
74	0.81505921
75	0.8121106617
76	0.8087056789
77	0.8058631627
78	0.8023298732
79	0.7998425663
80	0.7955459936
81	0.7914714479
82	0.7870094008
83	0.7838740243
84	0.7799751345
85	0.7762218234
86	0.7733092909
87	0.7698403785
88	0.7668042861
89	0.7631520205
90	0.7588540951
91	0.7553524042
92	0.7515926039
93	0.7490066184
94	0.747042547
95	0.7436816891
96	0.7401933013
97	0.7371064387
98	0.7350830609
99	0.7314141418
100	0.7280923153
101	0.7246583118
102	0.7205576938
103	0.7176771835
104	0.713938567
105	0.7096040943
106	0.7065914732
107	0.7028132566
108	0.6986631476
109	0.6948211811
110	0.6913689103
111	0.6884490448
112	0.6853978621
113	0.6810109649
114	0.6769659266
115	0.6748452608
116	0.6715581849
117	0.6696875599
118	0.6660911467
119	0.6631341875
120	0.6611771917
121	0.6588314306
122	0.6548201219
123	0.6520013598
124	0.6469112567
125	0.6426877564
126	0.639953737
127	0.6375902973
128	0.634559364
129	0.6318573406
130	0.6291936791
131	0.6268222709
132	0.6246042262
133	0.6218503808
134	0.6193676696
135	0.6177019864
136	0.6146729245
137	0.6132631856
138	0.6100138682
139	0.6078029282
140	0.6044407977
141	0.6018526971
142	0.5998146098
143	0.5967448424
144	0.5946569294
145	0.5927336558
146	0.5895871574
147	0.5867862555
148	0.5839391369
149	0.5808596628
150	0.5782207608
151	0.5754248584
152	0.5728823219
153	0.5707690732
154	0.5680650831
155	0.5656889974
156	0.5635094694
157	0.5604856957
158	0.5582637149
159	0.5548800185
160	0.5536216612
161	0.5510899991
162	0.548661505
163	0.546049053
164	0.544156542
165	0.5418936966
166	0.5401763296
167	0.5372917561
168	0.5351212708
169	0.5326253203
170	0.5303497307
171	0.529407426
172	0.527964358
173	0.5264846628
174	0.5251704277
175	0.523313282
176	0.5209885326
177	0.5188175959
178	0.5172852346
179	0.5155072581
180	0.513714212
181	0.511751924
182	0.5097997281
183	0.5073449796
184	0.5056988235
185	0.5036723974
186	0.502382355
187	0.5011825633
188	0.4990768479
189	0.4959981322
190	0.4940154116
191	0.4930761518
192	0.4914669909
193	0.4906700934
194	0.4896022604
195	0.4875825046
196	0.4861445935
197	0.4844124348
198	0.4825324167
199	0.4809506935
200	0.4796952767
201	0.4784346747
202	0.4771356024
203	0.4750726479
204	0.4741205894
205	0.4723060068
206	0.4708852627
207	0.4695100358
208	0.4682462068
209	0.4666040201
210	0.4652287545
211	0.463255069
212	0.4616813903
213	0.4604394843
214	0.4593680457
215	0.4576313584
216	0.4561081022
217	0.4548183472
218	0.4536642197
219	0.4521325806
220	0.4510808498
221	0.4501159909
222	0.448756008
223	0.4472299157
224	0.4457577001
225	0.4442226819
226	0.4429426418
227	0.4417985724
228	0.4403914348
229	0.4389755708
230	0.4383502802
231	0.4368808514
232	0.4352736215
233	0.4343317166
234	0.4329752946
235	0.4316515065
236	0.4300514996
237	0.4290396597
238	0.4280767844
239	0.4261231775
240	0.4251822428
241	0.4244215955
242	0.4232915726
243	0.4212443467
244	0.4202011092
245	0.4186052871
246	0.4178602424
247	0.4168050303
248	0.4158279637
249	0.4137392853
250	0.4115385667
251	0.410547953
252	0.40925143
253	0.40803288
254	0.4069199951
255	0.4057906335
256	0.4053260384
257	0.404194074
258	0.4026338413
259	0.4006623553
260	0.3997835432
261	0.3986205569
262	0.3975825283
263	0.3960855099
264	0.3948499585
265	0.3939568718
266	0.393307608
267	0.3918708762
268	0.3910629233
269	0.3898335281
270	0.3888878286
271	0.3875706615
272	0.3858007848
273	0.3845327924
274	0.3836732282
275	0.3825727431
276	0.3814196953
277	0.3801674976
278	0.3785780359
279	0.3772006821
280	0.3762091092
281	0.3754840616
282	0.3742871475
283	0.373599566
284	0.3723525923
285	0.3716446146
286	0.3710560267
287	0.3700885304
288	0.3689264588
289	0.367549106
290	0.3670966885
291	0.3663082156
292	0.3652712653
293	0.3642866271
294	0.3635062432
295	0.3622381422
296	0.3615810527
297	0.360644572
298	0.3594940319
299	0.35856338
300	0.3579668064
301	0.3569069027
302	0.3561627317
303	0.3552654672
304	0.3544570357
305	0.3538951495
306	0.3531210957
307	0.3520086071
308	0.351397683
309	0.3503703779
310	0.3494821985
311	0.3481754267
312	0.3474456232
313	0.3465666852
314	0.3457411908
315	0.3447702236
316	0.343869841
317	0.342829409
318	0.3419605706
319	0.3410463073
320	0.3400784004
321	0.339266841
322	0.3384305425
323	0.337408296
324	0.3365072856
325	0.3354499444
326	0.3344979547
327	0.3335201791
328	0.3329455261
329	0.3319861222
330	0.3308894322
331	0.3299265324
332	0.3287396121
333	0.3275157268
334	0.3259745542
335	0.3249998271
336	0.3241087154
337	0.3234098196
338	0.3226909071
339	0.3218724273
340	0.3211018028
341	0.3204796413
342	0.3195723359
343	0.3188200344
344	0.3177441583
345	0.3169872934
346	0.3157686635
347	0.3150230887
348	0.3140520843
349	0.3128636963
350	0.3122708601
351	0.3111568161
352	0.310728211
353	0.3099841452
354	0.3093369097
355	0.3088391221
356	0.3078610446
357	0.306933931
358	0.3058319444
359	0.3046424297
360	0.3038956278
361	0.3031824594
362	0.3024059725
363	0.3017933763
364	0.3011089699
365	0.3002026825
366	0.2993876848
367	0.2987353429
368	0.2976769623
369	0.2973946917
370	0.2963250533
371	0.2954142433
372	0.2948131212
373	0.2939316032
374	0.2932587242
375	0.2923792372
376	0.2915115329
377	0.2910739231
378	0.2901346009
379	0.2893038774
380	0.2887415951
381	0.2880166071
382	0.2874420747
383	0.2869577985
384	0.2862431772
385	0.2856413162
386	0.2847747961
387	0.2840528288
388	0.2832221981
389	0.2824682515
390	0.2817966801
391	0.281139741
392	0.2804377179
393	0.2798222212
394	0.2790887238
395	0.2783150883
396	0.2780959001
397	0.2775113903
398	0.276741159
399	0.275898833
400	0.2751742355
401	0.2746152136
402	0.2738892636
403	0.2732177899
404	0.2725452409
405	0.2720320403
406	0.2715058162
407	0.2709334444
408	0.2701230814
409	0.2692523729
410	0.2687360637
411	0.2679793335
412	0.2672533487
413	0.2664147121
414	0.2655464993
415	0.2644291449
416	0.2637722255
417	0.2629369997
418	0.2624550151
419	0.2615995934
420	0.2609391569
421	0.2604223418
422	0.2598090488
423	0.2591162364
424	0.2585965408
425	0.2577736551
426	0.2569634751
427	0.2564601477
428	0.2560297524
429	0.2553432064
430	0.2549383629
431	0.2541636063
432	0.2538010644
433	0.2532191756
434	0.2522329099
435	0.2517707117
436	0.2512437614
437	0.2506868483
438	0.2500050861
439	0.2494309145
440	0.2486284006
441	0.2478507437
442	0.2474132383
443	0.2468424521
444	0.2464315952
445	0.2459765953
446	0.2453360953
447	0.2449107183
448	0.2442700742
449	0.2432802695
450	0.2423532511
451	0.2415984858
452	0.240731036
453	0.240307541
454	0.2399802741
455	0.2396126672
456	0.2392439932
457	0.2388260387
458	0.238443844
459	0.2381895515
460	0.2376433394
461	0.2371462673
462	0.2367499078
463	0.236266087
464	0.235936237
465	0.2354487921
466	0.2350247651
467	0.2346554486
468	0.2341110607
469	0.233444319
470	0.2330696494
471	0.2325969616
472	0.2322595065
473	0.2316646355
474	0.2309117688
475	0.2304518406
476	0.2299526879
477	0.2294522359
478	0.2290137386
479	0.2283235809
480	0.2279564577
481	0.2273290054
482	0.2265480278
483	0.2261240989
484	0.2257477658
485	0.2250073968
486	0.2246200328
487	0.2242584631
488	0.2236613314
489	0.2231802368
490	0.2227150326
491	0.2221944806
492	0.2213491839
493	0.2208339099
494	0.2202714945
495	0.2198681888
496	0.2196419829
497	0.2192974996
498	0.2187206464
499	0.2182771879
500	0.2177486201
501	0.2174495756
502	0.2172153723
503	0.2167848906
504	0.2164193759
505	0.2160230713
506	0.2157799546
507	0.2151843315
508	0.2147760251
509	0.2144154586
510	0.2141389023
511	0.2138186038
512	0.2135175414
513	0.2130106059
514	0.2125867532
515	0.2119095864
516	0.2114717234
517	0.2109054516
518	0.2106091369
519	0.2103964743
520	0.2098841297
521	0.209506614
522	0.2088651452
523	0.2085567254
524	0.2080573076
525	0.2075469049
526	0.2070984549
527	0.2067542733
528	0.2062810518
529	0.2058344831
530	0.2054186768
531	0.2048591239
532	0.2045500828
533	0.2044101022
534	0.2040956733
535	0.2032983046
536	0.2027893498
537	0.2023813867
538	0.201962774
539	0.2018036306
540	0.2014372005
541	0.20091215
542	0.2006144848
543	0.2003385309
544	0.2000868232
545	0.1994936613
546	0.1990762213
547	0.1985437016
548	0.1980931686
549	0.1976913683
550	0.1973976344
551	0.1967802934
552	0.1964604752
553	0.1962729019
554	0.1958309746
555	0.1954357007
556	0.1951262153
557	0.1947537481
558	0.1945655037
559	0.1942899261
560	0.1940004878
561	0.193643776
562	0.1931544529
563	0.1927333268
564	0.192492839
565	0.19229241
566	0.1919577805
567	0.1915814263
568	0.1912842186
569	0.1908386835
570	0.190449396
571	0.1901469687
572	0.1898101276
573	0.189469106
574	0.18904799
575	0.1888495881
576	0.1885601086
577	0.1881335946
578	0.1879114059
579	0.1874045696
580	0.1870716192
581	0.1866514462
582	0.1862193192
583	0.1858761579
584	0.1856283754
585	0.1851674253
586	0.1847675712
587	0.1845699821
588	0.1842948181
589	0.1840075518
590	0.1837207094
591	0.1834778521
592	0.1832316019
593	0.1827173222
594	0.1823960671
595	0.1821686841
596	0.1817944806
597	0.1815301329
598	0.1812459215
599	0.1810353139
600	0.1808583837
601	0.1806312978
602	0.1802600476
603	0.17992784
604	0.1796228292
605	0.1794008948
606	0.1792271402
607	0.1790819895
608	0.178766976
609	0.1785011953
610	0.1781481672
611	0.1778519375
612	0.1776026968
613	0.177383808
614	0.1769386861
615	0.1765633611
616	0.1763417789
617	0.1759209591
618	0.1756045343
619	0.175313193
620	0.1749720978
621	0.1746625107
622	0.1740630033
623	0.1739112188
624	0.1735111087
625	0.1730813235
626	0.1727128873
627	0.1721029983
628	0.171760199
629	0.1716030336
630	0.1713802263
631	0.1710291779
632	0.1707722763
633	0.1705519888
634	0.1702178814
635	0.1699200978
636	0.1695923773
637	0.1692186829
638	0.1691290212
639	0.168875032
640	0.1685469401
641	0.1682237065
642	0.168004185
643	0.1676528018
644	0.1671468139
645	0.1668064971
646	0.1666324194
647	0.1662402567
648	0.1657366896
649	0.1653298003
650	0.1651707937
651	0.1648257128
652	0.1645306657
653	0.1641974189
654	0.1639559116
655	0.1636924421
656	0.1634522533
657	0.1630489653
658	0.1628049034
659	0.1626657996
660	0.1622330069
661	0.1618638364
662	0.1617566579
663	0.1613616019
664	0.1610760636
665	0.1608579971
666	0.1605427935
667	0.1602472985
668	0.159790449
669	0.1595384887
670	0.1592806001
671	0.1590671807
672	0.1589065544
673	0.1586547906
674	0.1583387498
675	0.1580390762
676	0.1577040957
677	0.1575198043
678	0.157152227
679	0.1569067225
680	0.156605691
681	0.1563473288
682	0.1558031921
683	0.1555603889
684	0.1553116999
685	0.1551480555
686	0.1548881997
687	0.1546278199
688	0.1542862396
689	0.1540699577
690	0.1538058303
691	0.153522785
692	0.1530511597
693	0.1529182401
694	0.1527252845
695	0.1526049558
696	0.1522520433
697	0.1520665407
698	0.1518177665
699	0.1514151104
700	0.1512467936
701	0.1511532911
702	0.1510056081
703	0.1508031735
704	0.1502565799
705	0.1499973801
706	0.1498059874
707	0.1495092857
708	0.149276216
709	0.1490299396
710	0.1487646509
711	0.1485452127
712	0.1482631529
713	0.147998957
714	0.1478756833
715	0.1476633755
716	0.1474648913
717	0.1472722178
718	0.1469351691
719	0.1467158889
720	0.1464581183
721	0.1461277011
722	0.1458452839
723	0.1456470287
724	0.1454606604
725	0.1451936568
726	0.1449658534
727	0.1448658123
728	0.1446675192
729	0.1442290755
730	0.1439611203
731	0.1437469246
732	0.1434449578
733	0.1432383961
734	0.1430770026
735	0.1428316984
736	0.1426276343
737	0.1424869929
738	0.1422876659
739	0.1419764304
740	0.1417396727
741	0.1415468883
742	0.141291345
743	0.1410258685
744	0.1407649485
745	0.1404998699
746	0.1401898458
747	0.1400464892
748	0.1398237132
749	0.1395619484
750	0.1393613492
751	0.1391957493
752	0.1390248265
753	0.1388300436
754	0.1386180804
755	0.1385210611
756	0.1383392928
757	0.1380807657
758	0.1378673409
759	0.1376903296
760	0.1374990152
761	0.1371227216
762	0.1369311444
763	0.1367931644
764	0.1366261478
765	0.1363352078
766	0.1361632148
767	0.1358008616
768	0.1355622468
769	0.1353330941
770	0.1350981388
771	0.1349199058
772	0.1347736462
773	0.134553932
774	0.1343199077
775	0.1341223891
776	0.1338598234
777	0.1336574892
778	0.1333990229
779	0.1330801057
780	0.132952118
781	0.1327796786
782	0.1326219729
783	0.1325031945
784	0.1322450397
785	0.1320938158
786	0.1317997362
787	0.1316140603
788	0.1315501665
789	0.1312171189
790	0.1310186574
791	0.130750213
792	0.1306868417
793	0.1304913674
